Species,project,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode,Notes
Sparisoma atomarium,BRUV,Actinopterygii,Perciformes,1.827999949,6.6647,45,2,55,26,0.6326489,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Balistes capriscus,BRUV,Actinopterygii,Tetraodontiformes,0.340000004,23.40063,7.6,4.06,100,17.8,2.412553,guarders_nesters,short_and_or_deep,reef_associated,balistiform,
Holocentrus adscensionis,BRUV,Actinopterygii,Beryciformes,0.330000013,34.6,5.7,3.11,180,26.1,2.626824,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Halichoeres bivittatus,BRUV,Actinopterygii,Perciformes,0.25,21.2,7.8,3.82,15,27.3,3.242638,nonguarders,fusiform_normal,reef_associated,labriform,
Holacanthus ciliaris,BRUV,Actinopterygii,Perciformes,0.119999997,26.5,14,2.99,70,26.7,6.897656,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform,
Haemulon flavolineatum,BRUV,Actinopterygii,Perciformes,0.349999994,16.83808,7.980000019,3.46,60,27.2,2.227006,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,carangiform,
Halichoeres garnoti,BRUV,Actinopterygii,Perciformes,0.430000007,12.5,11.1,3.7,80,27,2.455242,mixed,fusiform_normal,reef_associated,labriform,
Hypoplectrus indigo,BRUV,Actinopterygii,Perciformes,0.689999998,9.6,14.8,3.85,45,27.5,1.600621,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Caranx latus,BRUV,Actinopterygii,Perciformes,0.170000002,54.1,3.1,4.16,140,26.5,5.411483,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Hypoplectrus nigricans,BRUV,Actinopterygii,Perciformes,0.649999976,10.2,14.1,4,13,28,1.680668,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,subcarangiform,
Haemulon macrostomum,BRUV,Actinopterygii,Perciformes,0.25,25.4,6.5,3.26,25,27.4,3.323317,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,carangiform,
Haemulon plumierii,BRUV,Actinopterygii,Perciformes,0.109999999,34.9824,6,3.59,40,25.9,7.852674,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Serranus tigrinus,BRUV,Actinopterygii,Perciformes,0.330000013,17.9,8.6,3.5,40,27.1,2.393496,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,subcarangiform,
Holocentrus rufus,BRUV,Actinopterygii,Beryciformes,0.939999998,17.29075,9.6,3.51,32,27.3,0.8816831,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Haemulon sciurus,BRUV,Actinopterygii,Perciformes,0.300000012,23.56611,7.010000229,3.48,30,27.3,2.73472,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Holacanthus tricolor,BRUV,Actinopterygii,Perciformes,0.150000006,21.2,23.1,3.01,92,27.4,5.374396,nonguarders,short_and_or_deep_compressed,reef_associated,labriform,
Hypoplectrus unicolor,BRUV,Actinopterygii,Perciformes,0.769999981,8.6,14.1,3.97,25,27.4,1.429788,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,subcarangiform,
Synodus foetens,BRUV,Actinopterygii,Aulopiformes,0.340000004,28.2,7.7,4.42,200,24.8,2.49024,nonguarders_open_water_substratum_egg_scatterers,elongated_circular,reef_associated,carangiform,
Lutjanus apodus,BRUV,Actinopterygii,Perciformes,0.349999994,21.17903,8.9,4.25,63,26.4,2.308795,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Lutjanus jocu,BRUV,Actinopterygii,Perciformes,0.100000001,47.60751,5,4.41,40,25.8,9.014657,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Lutjanus griseus,BRUV,Actinopterygii,Perciformes,0.239999995,29.93246,6.3,4.23,180,24.8,3.536292,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Lutjanus mahogoni,BRUV,Actinopterygii,Perciformes,0.16,28,4.4,4.33,100,26.6,5.280299,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Lachnolaimus maximus,BRUV,Actinopterygii,Perciformes,0.079000004,48.31786,4.8,3.77,30,27.2,11.41961,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform,
Lutjanus synagris,BRUV,Actinopterygii,Perciformes,0.280000001,22.37045,8.7,3.82,400,24.7,2.905545,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Lactophrys triqueter,BRUV,Actinopterygii,Tetraodontiformes,0.331405072,27.5,5.2,3.25,50,25.7,2.65483054,nonguarders,short_and_or_deep,reef_associated,ostraciiform,
Microspathodon chrysurus,BRUV,Actinopterygii,Perciformes,0.340000004,13.5,15.3,2.1,120,27.5,3.092051,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform,
Mulloidichthys martinicus,BRUV,Actinopterygii,Perciformes,0.300000012,26.4,7.7,3.21,49,26.6,2.781811,nonguarders,fusiform_normal,reef_associated,carangiform,
Malacanthus plumieri,BRUV,Actinopterygii,Perciformes,0.119999997,39.1,4.4,3.71,153,26.7,7.308645,nonguarders,elongated,reef_associated,subcarangiform,
Lutjanus analis,BRUV,Actinopterygii,Perciformes,0.159999996,46.04047,4,3.91,95,24.2,5.622613,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Epinephelus striatus,BRUV,Actinopterygii,Perciformes,0.119999997,40.81977,5.5,4.05,90,26.4,7.361302,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_compressed,reef_associated,subcarangiform,
Ocyurus chrysurus,BRUV,Actinopterygii,Perciformes,0.100000001,43.17554,5.6,4.03,180,25.9,8.893765,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,carangiform,
Cantherhines pullus,BRUV,Actinopterygii,Tetraodontiformes,0.479999989,12.9,23.9,2.62,50,26.4,2.188377,mixed,short_and_or_deep,reef_associated,balistiform,
Pomacanthus arcuatus,BRUV,Actinopterygii,Perciformes,0.090000004,34.1,16.9,3.19,30,27.3,9.571049,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform,
Pseudupeneus maculatus,BRUV,Actinopterygii,Perciformes,0.259000003,19.63436,8.9,3.65,90,26.4,3.076513,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Pomacanthus paru,BRUV,Actinopterygii,Perciformes,0.214000002,26.71462,9.4,2.81,100,26.6,3.897285,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform,
Calamus calamus,BRUV,Actinopterygii,Perciformes,0.150000006,32.1,3.5,3.5,75,26.7,5.708498,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Pterois volitans,BRUV,Actinopterygii,Scorpaeniformes,0.319999993,25.75101,8.1,4.35,55,27.9,2.599202,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,subcarangiform,
Halichoeres radiatus,BRUV,Actinopterygii,Perciformes,0.170000002,29.5,7.4,3.52,55,26.8,4.961607,guarders_nesters,fusiform_normal,reef_associated,labriform,
Scarus vetula,BRUV,Actinopterygii,Perciformes,0.598999977,30.55702,19.7,2,25,27.4,1.4363,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Sparisoma aurofrenatum,BRUV,Actinopterygii,Perciformes,0.66900003,11.08606,32.6,2.02,20,27.5,1.608892,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Carcharhinus perezii,BRUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sparisoma amplum,BRUV,Actinopterygii,Perciformes,0.430000007,23.3,8.1,2,30,26.6,1.910141,nonguarders,short_and_or_deep_compressed,reef_associated,labriform,
Sphyraena barracuda,BRUV,Actinopterygii,Perciformes,0.086999997,87.6551,4.6,4.49,100,27.2,11.22341,nonguarders_open_water_substratum_egg_scatterers,elongated_compressed,reef_associated,carangiform,
Sparisoma chrysopterum,BRUV,Actinopterygii,Perciformes,0.782000005,23.86252,20.3,2,15,27.6,1.088692,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Stegastes diencaeus,BRUV,Actinopterygii,Perciformes,0.550000012,8.5,39.9,2,45,27.4,2.006055,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform,
Sparisoma frondosum,BRUV,Actinopterygii,Perciformes,0.439999998,18.93058,9.3,2,45,27.3,1.807988,nonguarders,short_and_or_deep_compressed,reef_associated,labriform,
Scarus guacamaia,BRUV,Actinopterygii,Perciformes,0.293000013,42.74397,13.6,2,25,27.3,3.049265,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
